# cartesian forces (eV/Angstrom) at end:
# (S.I.), that is V/m for E, and C/m^2 for P
# \sigma_{32}  hartree/bohr^3
#  E                 force (Al)         P                 \sigma_{32}
 0.0               0.0               -0.161763233E+01   0.00000000E+00
 5.142206319E+07   0.01143276583117  -1.614708582E+00   1.20609702E-06
 1.028441264E+08   0.02285410595432  -1.611780909E+00   2.41644671E-06
 1.542661896E+08   0.03426359806312  -1.608848890E+00   3.63094190E-06
 2.056882528E+08   0.04566117067113  -1.605912075E+00   4.84962563E-06
 2.571103160E+08   0.05704681777540  -1.602970010E+00   6.07252585E-06
-5.142206319E+07  -0.01144446453522  -1.620552596E+00  -1.20201870E-06
-1.028441264E+08  -0.02290031416802  -1.623469806E+00  -2.39979096E-06
-1.542661896E+08  -0.03436753194481  -1.626384395E+00  -3.59345608E-06
-2.056882528E+08  -0.04584602571088  -1.629296783E+00  -4.78297848E-06
-2.571103160E+08  -0.05733569886170  -1.632207391E+00  -5.96835509E-06
