# cartesian forces (eV/Angstrom) at end:
# (S.I.), that is V/m for E, and C/m^2 for P
# \sigma_{32}  hartree/bohr^3
#  E                 force (Al)         P                 \sigma_{32}
 0.0               0.0               -0.161763236E+01   0.00000000E+00
 5.142206319E+07   0.01143284891828  -1.614708555E+00   1.20608889E-06
 1.028441264E+08   0.02285399446519  -1.611780914E+00   2.41642954E-06
 1.542661896E+08   0.03426343152872  -1.608848897E+00   3.63091766E-06
 2.056882528E+08   0.04566106304803  -1.605912079E+00   4.84961345E-06
 2.571103160E+08   0.05704675907985  -1.602970013E+00   6.07252230E-06
-5.142206319E+07  -0.01144449503691  -1.620552577E+00  -1.20203523E-06
-1.028441264E+08  -0.02290018681369  -1.623469802E+00  -2.39977674E-06
-1.542661896E+08  -0.03436745718055  -1.626384393E+00  -3.59344953E-06
-2.056882528E+08  -0.04584599184481  -1.629296781E+00  -4.78297854E-06
-2.571103160E+08  -0.05733569706744  -1.632207390E+00  -5.96836192E-06
